Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
I12106	I12106_ERS8207991	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12106_ERS8207991_L1_R1.fastq.gz	NA	NA
I12110	I12110_ERS8207996	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12110_ERS8207996_L1_R1.fastq.gz	NA	NA
I12107	I12107_ERS8207994	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12107_ERS8207994_L1_R1.fastq.gz	NA	NA
I12104	I12104_ERS8207987	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12104_ERS8207987_L1_R1.fastq.gz	NA	NA
I15043	I15043_ERS8208424	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15043_ERS8208424_L1_R1.fastq.gz	NA	NA
I12624	I12624_ERS8208030	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12624_ERS8208030_L1_R1.fastq.gz	NA	NA
I12770	I12770_ERS8208031	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12770_ERS8208031_L1_R1.fastq.gz	NA	NA
I17146	I17146_ERS8208722	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17146_ERS8208722_L1_R1.fastq.gz	NA	NA
I12770	I12770_ERS8208032	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12770_ERS8208032_L1_R1.fastq.gz	NA	NA
I12613	I12613_ERS8208026	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12613_ERS8208026_L1_R1.fastq.gz	NA	NA
I12614	I12614_ERS8208027	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12614_ERS8208027_L1_R1.fastq.gz	NA	NA
I12614	I12614_ERS8208028	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12614_ERS8208028_L1_R1.fastq.gz	NA	NA
